Energy_MeV,dE_dx
0.01,42.09
0.011,44.26
0.012,46.37
0.013000000000000001,48.42
0.014,50.41
0.015,52.36
0.016,54.27
0.017,56.13
0.018000000000000002,57.96
0.02,61.53
0.0225,65.85
0.025,70.04
0.0275,74.14
0.03,78.17
0.0325,82.14
0.035,86.05
0.0375,89.89
0.04,93.68
0.045,101.1
0.05,108.3
0.055,115.3
0.06,122.1
0.065,128.7
0.07,135.1
0.08,147.1
0.09,158.0
0.1,167.8
0.11,176.6
0.12,184.5
0.13,191.8
0.14,198.7
0.15,205.2
0.16,211.5
0.17,217.6
0.18,223.6
0.2,235.1
0.225,248.6
0.25,261.0
0.275,272.1
0.3,281.8
0.325,290.2
0.35000000000000003,297.4
0.375,303.4
0.4,308.4
0.45,315.6
0.5,319.9
0.55,322.0
0.6,322.4
0.65,321.6
0.7000000000000001,319.8
0.8,314.4
0.9,307.6
1.0,300.2
1.1,292.5
1.2,284.9
1.3,277.5
1.4,270.3
1.5,263.4
1.6,256.8
1.7,250.5
1.8,244.5
2.0,233.4
2.25,220.7
2.5,209.5
2.75,199.4
3.0,190.2
3.25,182.0
3.5,174.5
3.75,167.7
4.0,161.5
4.5,150.6
5.0,141.2
